Date,URL,回数,タイトル,録音の有無,スピーカー
2024-06-13,https://x.com/i/spaces/1kvJpvmRaPdKE,,#Vizトーク 第65回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); 共同ホスト: Takafumi Shukuya(@O_Syringa_Z)"
2024-06-20,https://x.com/i/spaces/1LyGBnnqEEEGN,,#Vizトーク 第66回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: Shunta/だんでー(@Dandee_House), Takafumi Shukuya(@O_Syringa_Z)"
2024-06-27,https://x.com/i/spaces/1BdGYrqlwBQJX,,#Vizトーク 第67回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: Shunta/だんでー(@Dandee_House)"
2024-07-04,https://x.com/i/spaces/1yoKMwPgAOnJQ,,#Vizトーク 第68回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: Yuta Sakai(さかぴー)(@unbosoms), Takafumi Shukuya(@O_Syringa_Z)"
2024-07-11,https://x.com/i/spaces/1YpKklyoZDmGj,,#Vizトーク 第69回,なし,
2024-07-18,https://x.com/i/spaces/1BRJjwpAmvexw,,#Vizトーク 第70回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: Yuta Sakai(さかぴー)(@unbosoms), Yoshitaka Arakawa(@yoshi_datavizjp)"
2024-07-25,https://x.com/i/spaces/1lPJqONyWBwKb,,#Vizトーク 第71回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: Yuta Sakai(さかぴー)(@unbosoms), Shunta/だんでー(@Dandee_House)"
2024-08-01,https://x.com/i/spaces/1vAGROoMDNRJl,,#Vizトーク 第72回,なし,
2024-08-15,https://x.com/i/spaces/1dRKZdoZERMJB,,#Vizトーク 第73回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: Yuta Sakai(さかぴー)(@unbosoms), Satoshi Ganeko(@ritz_Tableau), Takafumi Shukuya(@O_Syringa_Z)"
2024-08-29,https://x.com/i/spaces/1kvJpbwyONgKE,,#Vizトーク 第74回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); 共同ホスト: Yoshitaka Arakawa(@yoshi_datavizjp)"
2024-09-05,https://x.com/i/spaces/1vOxwrDbMqRJB,,#Vizトーク 第75回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); 共同ホスト: Shunta/だんでー(@Dandee_House)"
2024-09-12,https://x.com/i/spaces/1jMJgBlVmDyGL,,#Vizトーク 第76回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: Chiaki(@ishiaki_tab)"
2024-09-26,https://x.com/i/spaces/1OwxWNvydqAJQ,,#Vizトーク 第76回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); 共同ホスト: Takafumi Shukuya(@O_Syringa_Z)"
2024-10-03,https://x.com/i/spaces/1OdKrXYwORpJX,,#Vizトーク 第77回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: Shunta/だんでー(@Dandee_House)"
2024-10-10,https://x.com/i/spaces/1BRJjwAApbNxw,,#Vizトーク 第78回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: Yuta Sakai(さかぴー)(@unbosoms), Hideaki Yamamoto/Chasoso(@_Chasoso)"
2024-10-17,https://x.com/i/spaces/1BdGYEgMEMyGX,,#Vizトーク 第79回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: Yuta Sakai(さかぴー)(@unbosoms)"
2024-10-24,https://x.com/i/spaces/1MnGnDLQyPwxO,,#Vizトーク 第80回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: Shunta/だんでー(@Dandee_House)"
2024-10-31,https://x.com/i/spaces/1MYGNMAoEPXKw,,#Vizトーク 第81回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: Yuta Sakai(さかぴー)(@unbosoms), Shunta/だんでー(@Dandee_House), Takafumi Shukuya(@O_Syringa_Z)"
2024-11-07,https://x.com/i/spaces/1RDxlynVdorKL,,#Vizトーク 第82回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); 共同ホスト: Yuta Sakai(さかぴー)(@unbosoms); スピーカー: Takafumi Shukuya(@O_Syringa_Z)"
2024-11-21,https://x.com/i/spaces/1PlJQbrelAyxE,,#Vizトーク 第83回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: Shunta/だんでー(@Dandee_House)"
2024-11-28,https://x.com/i/spaces/1MnGnDNmgOBxO,,#Vizトーク 第84回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: Yoshitaka Arakawa(@yoshi_datavizjp)"
2024-12-12,https://x.com/i/spaces/1MnxnDEpNnXGO,,#Vizトーク 第85回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: Chiaki(@ishiaki_tab), Takafumi Shukuya(@O_Syringa_Z)"
2024-12-19,https://x.com/i/spaces/1lPJqOLrjjdKb,,#Vizトーク 第86回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: Yuta Sakai(さかぴー)(@unbosoms)"
2024-12-26,https://x.com/i/spaces/1PlJQbPnnyqxE,,#Vizトーク 第87回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: Shunta/だんでー(@Dandee_House), Takafumi Shukuya(@O_Syringa_Z)"
2025-01-16,https://x.com/i/spaces/1zqKVYqLwqZxB,,#Vizトーク 第88回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: Yuta Sakai(さかぴー)(@unbosoms), Shunta/だんでー(@Dandee_House)"
2025-01-23,https://x.com/i/spaces/1rmxPoogVPXJN,,#Vizトーク 第89回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: Yuta Sakai(さかぴー)(@unbosoms), Akane Okamoto(@pyonpyon_tab)"
2025-01-30,https://x.com/i/spaces/1YpKklBBRwrGj,,#Vizトーク 第90回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); 共同ホスト: Takafumi Shukuya(@O_Syringa_Z); スピーカー: Yuta Sakai(さかぴー)(@unbosoms)"
2025-02-13,https://x.com/i/spaces/1lDxLzdNjeLGm,,#Vizトーク 第91回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: Yuta Sakai(さかぴー)(@unbosoms), Shunta/だんでー(@Dandee_House)"
2025-02-20,https://x.com/i/spaces/1yNxaLopezDJj,,#Vizトーク 第92回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: Mika Fukuda(@MikaFu9da), Shunta/だんでー(@Dandee_House)"
2025-02-27,https://x.com/i/spaces/1vAGRDoDEBzxl,,#Vizトーク 第93回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: Shunta/だんでー(@Dandee_House)"
2025-03-06,https://x.com/i/spaces/1YpJkBbPwBjGj,,#Vizトーク 第94回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: Shunta/だんでー(@Dandee_House)"
2025-03-13,https://x.com/i/spaces/1OdKrDdYdlXJX,,#Vizトーク 第95回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: komatsu1(@antipop1)"
2025-03-20,https://x.com/i/spaces/1DXxyqnOZmyxM,,#Vizトーク 第96回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: Yuta Sakai(さかぴー)(@unbosoms), Shunta/だんでー(@Dandee_House), Takafumi Shukuya(@O_Syringa_Z)"
2025-03-27,https://x.com/i/spaces/1MnGnwOdqrOJO,,#Vizトーク 第97回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: Takafumi Shukuya(@O_Syringa_Z)"
2025-04-03,https://x.com/i/spaces/1DXxyqbWAqexM,,#Vizトーク 第98回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: Satoshi Ganeko(@ritz_Tableau), Shunta/だんでー(@Dandee_House)"
2025-04-10,https://x.com/i/spaces/1RDxlzwpewgGL,,#Vizトーク 第99回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: Shunta/だんでー(@Dandee_House), Takafumi Shukuya(@O_Syringa_Z)"
2025-04-18,https://x.com/i/spaces/1kvKpypEyNDGE,,#Vizトーク 第100回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: Satoshi Ganeko(@ritz_Tableau), Chiaki(@ishiaki_tab), Shunta/だんでー(@Dandee_House)"
2025-04-24,https://x.com/i/spaces/1OyJALvQXaoGb,,#Vizトーク 第101回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: Yuta Sakai(さかぴー)(@unbosoms), Takafumi Shukuya(@O_Syringa_Z)"
2025-05-01,https://x.com/i/spaces/1BRJjmVzbWgGw,,#Vizトーク 第102回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: Yuta Sakai(さかぴー)(@unbosoms), Shunta/だんでー(@Dandee_House), Takafumi Shukuya(@O_Syringa_Z)"
2025-05-08,https://x.com/i/spaces/1gqxvjqDbRpxB,,#Vizトーク 第103回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: Yuta Sakai(さかぴー)(@unbosoms), Shunta/だんでー(@Dandee_House)"
2025-05-22,https://x.com/i/spaces/1BRKjmyPQPoxw,,#Vizトーク 第104回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: Shunta/だんでー(@Dandee_House)"
2025-05-29,https://x.com/i/spaces/1dRKZYeBQMdxB,,#Vizトーク 第105回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: Yoshitaka Arakawa(@yoshi_datavizjp)"
2025-06-05,https://x.com/i/spaces/1OwxWXWvMqjKQ,,#Vizトーク 第106回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: Takafumi Shukuya(@O_Syringa_Z)"
2025-06-12,https://x.com/i/spaces/1yoJMojaZQnKQ,,#Vizトーク 第107回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: Takafumi Shukuya(@O_Syringa_Z)"
2025-06-26,https://x.com/i/spaces/1rmxPyAbDyjKN,,#Vizトーク 第108回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: Yuta Sakai(さかぴー)(@unbosoms)"
2025-07-10,https://x.com/i/spaces/1LyxBWdWQlPKN,,#Vizトーク 第109回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: Yoshitaka Arakawa(@yoshi_datavizjp)"
2025-07-17,https://x.com/i/spaces/1lDGLznOaDbxm,,#Vizトーク 第110回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: Yoshitaka Arakawa(@yoshi_datavizjp)"
2025-07-24,https://x.com/i/spaces/1lDGLzPaLMvxm,,#Vizトーク 第111回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: Shunta/だんでー(@Dandee_House)"
2025-08-14,https://x.com/i/spaces/1dRJZajXkNAGB,,#Vizトーク 第112回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: Shunta/だんでー(@Dandee_House)"
2025-08-21,https://x.com/i/spaces/1vOGwdbaZvqJB,,#Vizトーク 第113回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: Yoshitaka Arakawa(@yoshi_datavizjp)"
2025-09-04,https://x.com/i/spaces/1djGXWjyYlLKZ,,#Vizトーク 第114回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: Shunta/だんでー(@Dandee_House)"
2025-09-18,https://x.com/i/spaces/1mnxeNDaXoaKX,,#Vizトーク 第115回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: Yoshitaka Arakawa(@yoshi_datavizjp)"
2025-10-02,https://x.com/i/spaces/1BdxYZDXaMMKX,,#Vizトーク 第116回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: Chiaki(@ishiaki_tab), Yoshitaka Arakawa(@yoshi_datavizjp), Yuta Sakai(さかぴー)(@unbosoms)"
2025-10-09,https://x.com/i/spaces/1YqGolOgwPgJv,,#Vizトーク 第117回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: Takafumi Shukuya(@O_Syringa_Z)"
2025-10-23,https://x.com/i/spaces/1DXxyWLnVLNGM,,#Vizトーク 第118回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: Yuta Sakai(さかぴー)(@unbosoms)"
2025-10-30,https://x.com/i/spaces/1YpKkkAneodKj,,#Vizトーク 第119回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: Takafumi Shukuya(@O_Syringa_Z)"
2025-11-06,https://x.com/i/spaces/1OdKrOeWjrpGX,,#Vizトーク 第120回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: Hideaki Yamamoto/Chasoso(@_Chasoso)"
2025-11-13,https://x.com/i/spaces/1DXxyWyggBeGM,,#Vizトーク 第121回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: Yoshitaka Arakawa(@yoshi_datavizjp), komatsu1(@antipop1)"
2025-11-27,https://x.com/i/spaces/1BdGYZMAWRgJX,,#Vizトーク 第122回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: Chiaki(@ishiaki_tab), Yoshitaka Arakawa(@yoshi_datavizjp), komatsu1(@antipop1)"
2025-12-04,https://x.com/i/spaces/1OdKrOZzREYGX,,#Vizトーク 第123回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: Yuta Sakai(さかぴー)(@unbosoms), Hideaki Yamamoto/Chasoso(@_Chasoso)"
2025-12-18,https://x.com/i/spaces/1vOGwdqQygEJB,,#Vizトーク 第124回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: Hideaki Yamamoto/Chasoso(@_Chasoso)"
2025-12-25,https://x.com/i/spaces/1BdGYZeNLNyJX,,#Vizトーク 第125回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: Hideaki Yamamoto/Chasoso(@_Chasoso)"
2026-01-08,https://x.com/i/spaces/1lDGLByXOVkxm,,#Vizトーク 第126回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: Hideaki Yamamoto/Chasoso(@_Chasoso)"
2026-01-22,https://x.com/i/spaces/1zqJVdBBjLAKB,,#Vizトーク 第127回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: Yoshitaka Arakawa(@yoshi_datavizjp)"
2026-01-29,https://x.com/i/spaces/1OwxWeYpQrMGQ,,#Vizトーク 第128回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: Hideaki Yamamoto/Chasoso(@_Chasoso)"
2026-02-05,https://x.com/i/spaces/1lPKqvOnrpAGb,,#Vizトーク 第129回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: Hideaki Yamamoto/Chasoso(@_Chasoso), Yoshitaka Arakawa(@yoshi_datavizjp)"
2026-02-19,https://x.com/i/spaces/1RKjpzzamzZJw,,#Vizトーク 第130回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: Hideaki Yamamoto/Chasoso(@_Chasoso)"
2026-03-05,https://x.com/i/spaces/1wGWjalVVjRKQ,,#Vizトーク 第131回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: Hideaki Yamamoto/Chasoso(@_Chasoso)"
2026-03-12,https://x.com/i/spaces/1pKkOyrdaeNKj,,#Vizトーク 第132回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: Hideaki Yamamoto/Chasoso(@_Chasoso)"
2026-03-19,https://x.com/i/spaces/1PJqrEgmglWxb,,#Vizトーク 第133回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: Hideaki Yamamoto/Chasoso(@_Chasoso), Chiaki(@ishiaki_tab)"
2026-03-26,https://x.com/i/spaces/1DGLdvEOVZzGm,,#Vizトーク 第134回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: Hideaki Yamamoto/Chasoso(@_Chasoso)"
2026-04-02,https://x.com/i/spaces/1aKbdbyAZmQJX,,#Vizトーク 第135回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: Yoshitaka Arakawa(@yoshi_datavizjp)"
2026-04-09,https://x.com/i/spaces/1aKbdbwMzYkJX,,#Vizトーク 第136回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: Hideaki Yamamoto/Chasoso(@_Chasoso)"
2026-04-16,https://x.com/i/spaces/1oKMvRLpRqRGQ,,#Vizトーク 第137回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: komatsu1(@antipop1)"
2026-04-23,https://x.com/i/spaces/1DxleELDkZEKL,,#Vizトーク 第139回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: Hideaki Yamamoto/Chasoso(@_Chasoso)"
2026-05-14,https://x.com/i/spaces/1pKkOyzzvRwKj,,#Vizトーク 第140回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: Yoshitaka Arakawa(@yoshi_datavizjp)"
2026-05-28,https://x.com/i/spaces/1rGmqqVQLBWGy,,#Vizトーク 第141回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: komatsu1(@antipop1)"
2026-06-18,https://x.com/i/spaces/1PKqrryXqRQGb,,#Vizトーク 第142回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: Hideaki Yamamoto/Chasoso(@_Chasoso)"
2026-06-25,https://x.com/i/spaces/1mGPaaNpZeQJN,,#Vizトーク 第143回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: Hideaki Yamamoto/Chasoso(@_Chasoso), Yoshitaka Arakawa(@yoshi_datavizjp)"
2026-07-23,https://x.com/i/spaces/1mxPaagNkrXKN,,#Vizトーク 第143回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: Hideaki Yamamoto/Chasoso(@_Chasoso)"
2026-08-06,https://x.com/i/spaces/1RJZzzaznMgJB,144,#Vizトーク 第144回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: Yoshitaka Arakawa(@yoshi_datavizjp)"
